YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Total,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2014,2014,ID,Idaho,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of La Leche League leaders per 1,000 live births",,Value,0.9,0.9,,,Total,"(43.682630005, -114.363730042)",BF,BF2,Q014,VALUE,16,Total,Total,OVR,OVERALL
2014,2014,NH,New Hampshire,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,36.0,36,,,Total,"(43.655950113, -71.50036092)",BF,BF2,Q016,VALUE,33,Total,Total,OVR,OVERALL
2013,2013,HI,Hawaii,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving fruits,,Value,No,10002,,,Total,"(21.304850435, -157.857749403)",FV,FV2,Q032,VALUE,15,Total,Total,OVR,OVERALL
2012,2012,US,National,Fruits and Vegetables Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,Percent of farmers markets that accept SNAP benefits,,Value,21.0,21,,,Total,,FV,FV2,Q029,VALUE,59,Total,Total,OVR,OVERALL
2013,2013,CT,Connecticut,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,25.0,25,,,Total,"(41.56266102, -72.649840952)",BF,BF2,Q016,VALUE,09,Total,Total,OVR,OVERALL
2014,2014,MT,Montana,National Complete Streets Coalition,Physical Activity,Physical Activity - Environmental or Policy Supports,State has adopted some form of a Complete Streets policy,,Value,No,10002,,,Total,"(47.066528972, -109.424420645)",PA,PA2,Q053,VALUE,30,Total,Total,OVR,OVERALL
2017,2017,PA,Pennsylvania,Fruits and Vegetables Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,Number of food hubs in each state,,Value,12,12,,,Total,"(40.793730152, -77.860700294)",FV,FV2,Q025,VALUE,42,Total,Total,OVR,OVERALL
2012,2012,DE,Delaware,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of La Leche League leaders per 1,000 live births",,Value,0.3,0.3,,,Total,"(39.008830667, -75.577741168)",BF,BF2,Q014,VALUE,10,Total,Total,OVR,OVERALL
2012,2012,NJ,New Jersey,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of La Leche League leaders per 1,000 live births",,Value,1.4,1.4,,,Total,"(40.130570048, -74.273691288)",BF,BF2,Q014,VALUE,34,Total,Total,OVR,OVERALL
2012,2012,MS,Mississippi,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving vegetables,,Value,Yes,10001,,,Total,"(32.745510099, -89.538030825)",FV,FV2,Q033,VALUE,28,Total,Total,OVR,OVERALL
2002,2017,NC,North Carolina,Fruits and Vegetables Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State-level farm to school/preschool policy,,Value,No,10002,,,Total,"(35.466220975, -79.159250463)",FV,FV2,Q034,VALUE,37,Total,Total,OVR,OVERALL
2011,2011,HI,Hawaii,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births",,Value,3.5,3.5,,,Total,"(21.304850435, -157.857749403)",BF,BF2,Q013,VALUE,15,Total,Total,OVR,OVERALL
2018,2018,MI,Michigan,Fruits and Vegetables Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,Existence of state-level Food Policy Council,,Value,Yes,10001,,,Total,"(44.661319543001, -84.71439027)",FV,FV2,Q022,VALUE,26,Total,Total,OVR,OVERALL
2012,2012,US,National,Fruits and Vegetables Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons,,Value,25.8,25.8,,,Total,,FV,FV2,Q030,VALUE,59,Total,Total,OVR,OVERALL
2016,2016,MI,Michigan,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving vegetables,,Value,No,10002,,,Total,"(44.661319543001, -84.71439027)",FV,FV2,Q033,VALUE,26,Total,Total,OVR,OVERALL
2013,2013,AR,Arkansas,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of La Leche League leaders per 1,000 live births",,Value,0.4,0.4,,,Total,"(34.748650124, -92.274490743)",BF,BF2,Q014,VALUE,05,Total,Total,OVR,OVERALL
2014,2014,DE,Delaware,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years,,Value,No,10002,,,Total,"(39.008830667, -75.577741168)",TV,TV2,Q065,VALUE,10,Total,Total,OVR,OVERALL
2012,2012,CA,California,School Health Policies and Practices Study,Physical Activity,Physical Activity - Environmental or Policy Supports,State provides guidance on policies for school districts or schools on recess,,Value,No,10002,,,Total,"(37.638640123, -120.999999538)",PA,PA2,Q055,VALUE,06,Total,Total,OVR,OVERALL
2014,2014,DC,District of Columbia,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of La Leche League leaders per 1,000 live births",,Value,0.8,0.8,,,Total,"(38.890371385, -77.031961127)",BF,BF2,Q014,VALUE,11,Total,Total,OVR,OVERALL
2016,2016,MI,Michigan,National Complete Streets Coalition,Physical Activity,Physical Activity - Environmental or Policy Supports,State has adopted some form of a Complete Streets policy,,Value,Yes,10001,,,Total,"(44.661319543001, -84.71439027)",PA,PA2,Q053,VALUE,26,Total,Total,OVR,OVERALL
2012,2012,US,National,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving fruits,,Value,8,8,,,Total,,FV,FV2,Q032,VALUE,59,Total,Total,OVR,OVERALL
2017,2017,KY,Kentucky,Fruits and Vegetables Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,Number of food hubs in each state,,Value,2,2,,,Total,"(37.645970271, -84.774971048)",FV,FV2,Q025,VALUE,21,Total,Total,OVR,OVERALL
2012,2012,US,National,Fruits and Vegetables Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,"Number of farmers markets per 100,000 residents",,Value,2.5,2.5,,,Total,,FV,FV2,Q024,VALUE,59,Total,Total,OVR,OVERALL
2016,2016,MI,Michigan,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of La Leche League leaders per 1,000 live births",,Value,1.0,1,,,Total,"(44.661319543001, -84.71439027)",BF,BF2,Q014,VALUE,26,Total,Total,OVR,OVERALL
2012,2012,NM,New Mexico,Fruits and Vegetables Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons,,Value,76.8,76.8,,,Total,"(34.520880952, -106.240580985)",FV,FV2,Q030,VALUE,35,Total,Total,OVR,OVERALL
2013,2013,AL,Alabama,National Complete Streets Coalition,Physical Activity,Physical Activity - Environmental or Policy Supports,State has adopted some form of a Complete Streets policy,,Value,No,10002,,,Total,"(32.840571122, -86.631860762)",PA,PA2,Q053,VALUE,01,Total,Total,OVR,OVERALL
2017,2017,UT,Utah,Fruits and Vegetables Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,Number of food hubs in each state,,Value,0,0,,,Total,"(39.360700171, -111.587130635)",FV,FV2,Q025,VALUE,49,Total,Total,OVR,OVERALL
2017,2017,US,National,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving fruits,,Value,7,7,,,Total,,FV,FV2,Q032,VALUE,59,Total,Total,OVR,OVERALL
2012,2012,NJ,New Jersey,Fruits and Vegetables Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,Number of food hubs in each state,,Value,1,1,,,Total,"(40.130570048, -74.273691288)",FV,FV2,Q025,VALUE,34,Total,Total,OVR,OVERALL
2010,2010,US,National,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving fruits,,Value,10,10,,,Total,,FV,FV2,Q032,VALUE,59,Total,Total,OVR,OVERALL
2018,2018,US,National,Fruits and Vegetables Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,Existence of state-level Food Policy Council,,Value,32,32,,,Total,,FV,FV2,Q022,VALUE,59,Total,Total,OVR,OVERALL
2012,2012,RI,Rhode Island,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving vegetables,,Value,No,10002,,,Total,"(41.708280193, -71.522470314)",FV,FV2,Q033,VALUE,44,Total,Total,OVR,OVERALL
2016,2016,NC,North Carolina,ECE Surveillance Sources,Physical Activity,Physical Activity - Environmental or Policy Supports,State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers,,Value,No,10002,,,Total,"(35.466220975, -79.159250463)",PA,PA2,Q052,VALUE,37,Total,Total,OVR,OVERALL
2009,2009,WV,West Virginia,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,0.0,0,,,Total,"(38.665510202, -80.712640135)",BF,BF2,Q016,VALUE,54,Total,Total,OVR,OVERALL
2017,2017,NC,North Carolina,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week,,Value,No,10002,,,Total,"(35.466220975, -79.159250463)",TV,TV2,Q066,VALUE,37,Total,Total,OVR,OVERALL
2012,2012,DC,District of Columbia,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,11.4,11.4,,,Total,"(38.890371385, -77.031961127)",BF,BF2,Q016,VALUE,11,Total,Total,OVR,OVERALL
2016,2016,VA,Virginia,School Health Profiles (Profiles),Sugar Drinks,Sugar Drinks - Environmental or Policy Supports,"Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar",,Value,36.2,36.2,,,Total,"(37.542680674, -78.457890463)",SD,SD2,Q063,VALUE,51,Total,Total,OVR,OVERALL
2014,2014,DE,Delaware,School Health Profiles (Profiles),Sugar Drinks,Sugar Drinks - Environmental or Policy Supports,"Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar",,Value,11.4,11.4,,,Total,"(39.008830667, -75.577741168)",SD,SD2,Q062,VALUE,10,Total,Total,OVR,OVERALL
2018,2018,MT,Montana,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years,,Value,No,10002,,,Total,"(47.06652897200047, -109.42442064499971)",TV,TV2,Q065,VALUE,30,Total,Total,OVR,OVERALL
2016,2016,WV,West Virginia,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births",,Value,3.1,3.1,,,Total,"(38.665510202, -80.712640135)",BF,BF2,Q013,VALUE,54,Total,Total,OVR,OVERALL
2018,2018,IN,Indiana,ECE Surveillance Sources,Physical Activity,Physical Activity - Environmental or Policy Supports,State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers,,Value,No,10002,,,Total,"(39.766910452000445, -86.14996019399968)",PA,PA2,Q052,VALUE,18,Total,Total,OVR,OVERALL
2013,2013,VA,Virginia,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving fruits,,Value,No,10002,,,Total,"(37.542680674, -78.457890463)",FV,FV2,Q032,VALUE,51,Total,Total,OVR,OVERALL
2018,2018,AZ,Arizona,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,6.8,6.8,,,Total,"(34.86597028, -111.763811277)",BF,BF2,Q016,VALUE,04,Total,Total,OVR,OVERALL
2018,2018,IA,Iowa,Fruits and Vegetables Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,Existence of state-level Food Policy Council,,Value,No,10002,,,Total,"(42.469400913, -93.816490556)",FV,FV2,Q022,VALUE,19,Total,Total,OVR,OVERALL
2012,2012,FL,Florida,Fruits and Vegetables Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,Number of food hubs in each state,,Value,5,5,,,Total,"(28.932040377, -81.928960539)",FV,FV2,Q025,VALUE,12,Total,Total,OVR,OVERALL
2012,2012,NV,Nevada,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week,,Value,No,10002,,,Total,"(39.49324039, -117.071840564)",TV,TV2,Q066,VALUE,32,Total,Total,OVR,OVERALL
2010,2010,OK,Oklahoma,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,0.0,0,,,Total,"(35.472031356, -97.521070214)",BF,BF2,Q016,VALUE,40,Total,Total,OVR,OVERALL
2018,2018,US,National,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years,,Value,7,7,,,Total,,TV,TV2,Q065,VALUE,59,Total,Total,OVR,OVERALL
2012,2012,TN,Tennessee,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving fruits,,Value,No,10002,,,Total,"(35.68094058, -85.774490914)",FV,FV2,Q032,VALUE,47,Total,Total,OVR,OVERALL
2013,2013,NH,New Hampshire,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years,,Value,No,10002,,,Total,"(43.655950113, -71.50036092)",TV,TV2,Q065,VALUE,33,Total,Total,OVR,OVERALL
2010,2010,WV,West Virginia,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week,,Value,No,10002,,,Total,"(38.665510202, -80.712640135)",TV,TV2,Q066,VALUE,54,Total,Total,OVR,OVERALL
2018,2018,OR,Oregon,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,52.6,52.6,,,Total,"(44.567449424, -120.155031326)",BF,BF2,Q016,VALUE,41,Total,Total,OVR,OVERALL
2014,2014,NJ,New Jersey,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving fruits,,Value,No,10002,,,Total,"(40.130570048, -74.273691288)",FV,FV2,Q032,VALUE,34,Total,Total,OVR,OVERALL
2014,2014,IA,Iowa,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,0.1,0.1,,,Total,"(42.469400913, -93.816490556)",BF,BF2,Q016,VALUE,19,Total,Total,OVR,OVERALL
2016,2016,NJ,New Jersey,School Health Profiles (Profiles),Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,Percent of secondary schools that offered a self-serve salad bar to students,,Value,27.1,27.1,,,Total,"(40.130570048, -74.273691288)",FV,FV2,Q061,VALUE,34,Total,Total,OVR,OVERALL
2014,2014,WV,West Virginia,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week,,Value,No,10002,,,Total,"(38.665510202, -80.712640135)",TV,TV2,Q066,VALUE,54,Total,Total,OVR,OVERALL
2011,2011,CT,Connecticut,ECE Surveillance Sources,Physical Activity,Physical Activity - Environmental or Policy Supports,State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers,,Value,No,10002,,,Total,"(41.56266102, -72.649840952)",PA,PA2,Q052,VALUE,09,Total,Total,OVR,OVERALL
2002,2017,PA,Pennsylvania,Fruits and Vegetables Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State-level farm to school/preschool policy,,Value,Yes,10001,,,Total,"(40.793730152, -77.860700294)",FV,FV2,Q034,VALUE,42,Total,Total,OVR,OVERALL
2011,2011,NC,North Carolina,ECE Surveillance Sources,Sugar Drinks,Sugar Drinks - Environmental or Policy Supports,"State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk",,Value,No,10002,,,Total,"(35.466220975, -79.159250463)",SD,SD2,Q064,VALUE,37,Total,Total,OVR,OVERALL
2013,2013,VT,Vermont,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week,,Value,No,10002,,,Total,"(43.625381239, -72.517640791)",TV,TV2,Q066,VALUE,50,Total,Total,OVR,OVERALL
2012,2012,MS,Mississippi,ECE Surveillance Sources,Sugar Drinks,Sugar Drinks - Environmental or Policy Supports,"State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk",,Value,No,10002,,,Total,"(32.745510099, -89.538030825)",SD,SD2,Q064,VALUE,28,Total,Total,OVR,OVERALL
2011,2011,US,National,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving vegetables,,Value,2,2,,,Total,,FV,FV2,Q033,VALUE,59,Total,Total,OVR,OVERALL
2018,2018,NH,New Hampshire,Fruits and Vegetables Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,Existence of state-level Food Policy Council,,Value,No,10002,,,Total,"(43.655950113, -71.50036092)",FV,FV2,Q022,VALUE,33,Total,Total,OVR,OVERALL
2015,2015,LA,Louisiana,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,9.3,9.3,,,Total,"(31.312660644, -92.445680071)",BF,BF2,Q016,VALUE,22,Total,Total,OVR,OVERALL
2013,2013,OR,Oregon,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving fruits,,Value,No,10002,,,Total,"(44.567449424, -120.155031326)",FV,FV2,Q032,VALUE,41,Total,Total,OVR,OVERALL
2019,2019,CO,Colorado,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week,,Value,No,10002,,,Total,"(38.843840757000464, -106.13361092099967)",TV,TV2,Q066,VALUE,08,Total,Total,OVR,OVERALL
2011,2011,US,National,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week,,Value,0,0,,,Total,,TV,TV2,Q066,VALUE,59,Total,Total,OVR,OVERALL
2013,2013,OK,Oklahoma,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week,,Value,No,10002,,,Total,"(35.472031356, -97.521070214)",TV,TV2,Q066,VALUE,40,Total,Total,OVR,OVERALL
2016,2016,KY,Kentucky,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births",,Value,2.9,2.9,,,Total,"(37.645970271, -84.774971048)",BF,BF2,Q013,VALUE,21,Total,Total,OVR,OVERALL
2019,2019,MN,Minnesota,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week,,Value,No,10002,,,Total,"(46.35564873600049, -94.79420050299967)",TV,TV2,Q066,VALUE,27,Total,Total,OVR,OVERALL
2015,2015,NM,New Mexico,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of La Leche League leaders per 1,000 live births",,Value,0.7,0.7,,,Total,"(34.520880952, -106.240580985)",BF,BF2,Q014,VALUE,35,Total,Total,OVR,OVERALL
2016,2016,WY,Wyoming,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving vegetables,,Value,No,10002,,,Total,"(43.235541343, -108.109830353)",FV,FV2,Q033,VALUE,56,Total,Total,OVR,OVERALL
2016,2016,MA,Massachusetts,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,13.2,13.2,,,Total,"(42.27687047, -72.082690675)",BF,BF2,Q016,VALUE,25,Total,Total,OVR,OVERALL
2018,2018,AL,Alabama,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,,Value,78,78,,,Total,"(32.840571122, -86.631860762)",BF,BF2,Q009,VALUE,01,Total,Total,OVR,OVERALL
2016,2016,DC,District of Columbia,National Complete Streets Coalition,Physical Activity,Physical Activity - Environmental or Policy Supports,State has adopted some form of a Complete Streets policy,,Value,Yes,10001,,,Total,"(38.890371385, -77.031961127)",PA,PA2,Q053,VALUE,11,Total,Total,OVR,OVERALL
2012,2012,OK,Oklahoma,Fruits and Vegetables Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons,,Value,,,N/A,Indicates States that did not receive WIC FMNP grants in FY2012,Total,"(35.472031356, -97.521070214)",FV,FV2,Q030,VALUE,40,Total,Total,OVR,OVERALL
2010,2010,MI,Michigan,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week,,Value,No,10002,,,Total,"(44.661319543001, -84.71439027)",TV,TV2,Q066,VALUE,26,Total,Total,OVR,OVERALL
2014,2014,GA,Georgia,School Health Profiles (Profiles),Sugar Drinks,Sugar Drinks - Environmental or Policy Supports,"Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar",,Value,53.8,53.8,,,Total,"(32.839681093, -83.627580346)",SD,SD2,Q063,VALUE,13,Total,Total,OVR,OVERALL
2018,2018,NE,Nebraska,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,12.8,12.8,,,Total,"(41.641040988001, -99.365720623)",BF,BF2,Q016,VALUE,31,Total,Total,OVR,OVERALL
2016,2017,NC,North Carolina,National Survey of Children's Health,Physical Activity,Physical Activity - Environmental or Policy Supports,"Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood",,Value,25.7,25.7,,,Total,"(35.466220975000454, -79.15925046299964)",PA,PA2,Q051,VALUE,37,Total,Total,OVR,OVERALL
