"YearStart","LocationAbbr","LocationDesc","Class","Question","Data_Value","QuestionRenamed"
"2017","PA","Pennsylvania","Fruits and Vegetables","Number of food hubs in each state","12","Food Hubs Count"
"2012","DE","Delaware","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.3","La Leche Leaders Count"
"2012","NJ","New Jersey","Breastfeeding","Number of La Leche League leaders per 1,000 live births","1.4","La Leche Leaders Count"
"2012","MS","Mississippi","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","Yes","State-National Alignment on Vegetable Serving Regulations"
"2011","HI","Hawaii","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","3.5","IBCLCs Count"
"2018","MI","Michigan","Fruits and Vegetables","Existence of state-level Food Policy Council","Yes","State-Level Food Policy Council"
"2012","US","National","Fruits and Vegetables","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons","25.8","Percent of WIC Farmers Markets"
"2016","MI","Michigan","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2013","AR","Arkansas","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.4","La Leche Leaders Count"
"2014","DE","Delaware","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2012","CA","California","Physical Activity","State provides guidance on policies for school districts or schools on recess","No","State Guidance on Policies for School Recess"
"2014","DC","District of Columbia","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.8","La Leche Leaders Count"
"2016","MI","Michigan","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2012","US","National","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","8","State-National Alignment on Fruit Serving  Regulations"
"2017","KY","Kentucky","Fruits and Vegetables","Number of food hubs in each state","2","Food Hubs Count"
"2012","US","National","Fruits and Vegetables","Number of farmers markets per 100,000 residents","2.5","Farmers Market Count"
"2016","MI","Michigan","Breastfeeding","Number of La Leche League leaders per 1,000 live births","1.0","La Leche Leaders Count"
"2012","NM","New Mexico","Fruits and Vegetables","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons","76.8","Percent of WIC Farmers Markets"
"2013","AL","Alabama","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2017","UT","Utah","Fruits and Vegetables","Number of food hubs in each state","0","Food Hubs Count"
"2017","US","National","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","7","State-National Alignment on Fruit Serving  Regulations"
"2012","NJ","New Jersey","Fruits and Vegetables","Number of food hubs in each state","1","Food Hubs Count"
"2018","US","National","Fruits and Vegetables","Existence of state-level Food Policy Council","32","State-Level Food Policy Council"
"2012","RI","Rhode Island","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2016","NC","North Carolina","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2017","NC","North Carolina","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2012","DC","District of Columbia","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","11.4","Percent of BFHI births"
"2016","VA","Virginia","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","36.2","Percent Sec Schools Allowing Sports Drink"
"2014","DE","Delaware","Sugar Drinks","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar","11.4","Percent Sec Schools Allowing Soda Purchase"
"2018","MT","Montana","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2016","WV","West Virginia","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","3.1","IBCLCs Count"
"2018","IN","Indiana","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2013","VA","Virginia","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2018","AZ","Arizona","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","6.8","Percent of BFHI births"
"2018","IA","Iowa","Fruits and Vegetables","Existence of state-level Food Policy Council","No","State-Level Food Policy Council"
"2012","FL","Florida","Fruits and Vegetables","Number of food hubs in each state","5","Food Hubs Count"
"2012","NV","Nevada","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2018","US","National","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","7","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2012","TN","Tennessee","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2013","NH","New Hampshire","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2018","OR","Oregon","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","52.6","Percent of BFHI births"
"2014","NJ","New Jersey","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2014","IA","Iowa","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","0.1","Percent of BFHI births"
"2016","NJ","New Jersey","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","27.1","Percent of Sec Schools Offering Salad Bar"
"2014","WV","West Virginia","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2011","CT","Connecticut","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2011","NC","North Carolina","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2013","VT","Vermont","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2012","MS","Mississippi","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2011","US","National","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","2","State-National Alignment on Vegetable Serving Regulations"
"2018","NH","New Hampshire","Fruits and Vegetables","Existence of state-level Food Policy Council","No","State-Level Food Policy Council"
"2015","LA","Louisiana","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","9.3","Percent of BFHI births"
"2013","OR","Oregon","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2019","CO","Colorado","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2011","US","National","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","0","State-National Alignment on Restricting Media Age >2 yrs"
"2013","OK","Oklahoma","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2016","KY","Kentucky","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","2.9","IBCLCs Count"
"2019","MN","Minnesota","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2015","NM","New Mexico","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.7","La Leche Leaders Count"
"2016","WY","Wyoming","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2016","MA","Massachusetts","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","13.2","Percent of BFHI births"
"2018","AL","Alabama","Breastfeeding","Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities","78","mPINC Score"
"2016","DC","District of Columbia","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2012","OK","Oklahoma","Fruits and Vegetables","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons","","Percent of WIC Farmers Markets"
"2014","GA","Georgia","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","53.8","Percent Sec Schools Allowing Sports Drink"
"2018","NE","Nebraska","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","12.8","Percent of BFHI births"
"2016","NC","North Carolina","Physical Activity","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood","25.7","Percent of Youth with Activity Areas Nearby"
"2016","DC","District of Columbia","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","2.0","IBCLCs Count"
"2012","GA","Georgia","Physical Activity","State provides guidance on policies for school districts or schools on joint-use agreements for physical activity facilities","No","State Guidance on Policies for School Activity Facilities"
"2011","MN","Minnesota","Breastfeeding","Number of La Leche League leaders per 1,000 live births","1.5","La Leche Leaders Count"
"2019","MS","Mississippi","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2016","VA","Virginia","Breastfeeding","Number of La Leche League leaders per 1,000 live births","1.3","La Leche Leaders Count"
"2012","SC","South Carolina","Physical Activity","State provides guidance on policies for school districts or schools on joint-use agreements for physical activity facilities","No","State Guidance on Policies for School Activity Facilities"
"2016","OH","Ohio","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2012","VT","Vermont","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2012","SC","South Carolina","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.7","La Leche Leaders Count"
"2012","KS","Kansas","Physical Activity","State provides guidance on policies for school districts or schools on walking or biking to or from school","Yes","State Guidance on Commuting to School by Walk or Bike"
"2011","MD","Maryland","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2014","NY","New York","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","5.7","Percent of BFHI births"
"2012","AK","Alaska","Physical Activity","State provides guidance on policies for school districts or schools on time spent in moderate-to-vigorous intensity physical activity during physical education class","Yes","State Guidance on Policies for Time Spent in Activity During PE Class"
"2015","CA","California","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2012","AZ","Arizona","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2017","MA","Massachusetts","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2011","GA","Georgia","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2016","US","National","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.8","La Leche Leaders Count"
"2017","WY","Wyoming","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2017","HI","Hawaii","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2017","MO","Missouri","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2012","MS","Mississippi","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","0.0","Percent of BFHI births"
"2017","WV","West Virginia","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2011","MA","Massachusetts","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2018","ME","Maine","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2017","NJ","New Jersey","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2017","MS","Mississippi","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2017","OH","Ohio","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2019","US","National","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","7","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2014","AK","Alaska","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2013","NM","New Mexico","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2019","FL","Florida","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2012","US","National","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","6.2","Percent of BFHI births"
"2017","TN","Tennessee","Fruits and Vegetables","Number of farmers markets per 100,000 residents","1.9","Farmers Market Count"
"2015","OR","Oregon","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2014","WI","Wisconsin","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","56.9","Percent Sec Schools Allowing Sports Drink"
"2013","MA","Massachusetts","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","5.5","Percent of BFHI births"
"2016","MI","Michigan","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2013","GA","Georgia","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2013","MT","Montana","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2017","LA","Louisiana","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2019","CT","Connecticut","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2011","NY","New York","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","4.0","Percent of BFHI births"
"2014","AL","Alabama","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2016","KY","Kentucky","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2014","MA","Massachusetts","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","38.1","Percent of Sec Schools Offering Salad Bar"
"2016","TX","Texas","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2016","CA","California","Physical Activity","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood","57.8","Percent of Youth with Activity Areas Nearby"
"2012","UT","Utah","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2015","GA","Georgia","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2015","TN","Tennessee","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2013","MS","Mississippi","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","0.0","Percent of BFHI births"
"2014","ND","North Dakota","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","89.9","Percent of Sec Schools Offering Salad Bar"
"2014","LA","Louisiana","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2011","NY","New York","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2012","CO","Colorado","Fruits and Vegetables","Percent of farmers markets that accept SNAP benefits","21.7","Percent of SNAP Farmers Markets"
"2017","AL","Alabama","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2012","NJ","New Jersey","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2017","IL","Illinois","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2012","ID","Idaho","Fruits and Vegetables","Number of farmers markets per 100,000 residents","4.2","Farmers Market Count"
"2012","ID","Idaho","Sugar Drinks","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar","49.8","Percent Sec Schools Allowing Soda Purchase"
"2017","OK","Oklahoma","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2017","TN","Tennessee","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2012","ME","Maine","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","40.7","Percent Sec Schools Allowing Sports Drink"
"2015","KY","Kentucky","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2016","IL","Illinois","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","3.3","IBCLCs Count"
"2016","CA","California","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","54.8","Percent of Sec Schools Offering Salad Bar"
"2011","SC","South Carolina","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2017","CO","Colorado","Fruits and Vegetables","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons","5.1","Percent of WIC Farmers Markets"
"2018","IN","Indiana","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2015","MN","Minnesota","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2014","WY","Wyoming","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2017","IN","Indiana","Fruits and Vegetables","Number of food hubs in each state","3","Food Hubs Count"
"2015","SD","South Dakota","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2017","KY","Kentucky","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2012","KY","Kentucky","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2019","WI","Wisconsin","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2012","OR","Oregon","Sugar Drinks","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar","23.8","Percent Sec Schools Allowing Soda Purchase"
"2015","KY","Kentucky","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2013","CA","California","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2018","NC","North Carolina","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2017","FL","Florida","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2016","RI","Rhode Island","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","58.8","Percent of Sec Schools Offering Salad Bar"
"2013","NV","Nevada","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2019","MT","Montana","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2012","DC","District of Columbia","Fruits and Vegetables","Number of food hubs in each state","2","Food Hubs Count"
"2014","SC","South Carolina","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2016","CO","Colorado","Breastfeeding","Number of La Leche League leaders per 1,000 live births","1.3","La Leche Leaders Count"
"2014","NV","Nevada","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2018","RI","Rhode Island","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2016","NY","New York","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2018","CO","Colorado","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2018","MS","Mississippi","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2012","OK","Oklahoma","Fruits and Vegetables","Number of farmers markets per 100,000 residents","1.9","Farmers Market Count"
"2018","CO","Colorado","Breastfeeding","Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities","85","mPINC Score"
"2012","OH","Ohio","Breastfeeding","Number of La Leche League leaders per 1,000 live births","1.1","La Leche Leaders Count"
"2012","WA","Washington","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2019","IL","Illinois","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2013","MT","Montana","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","3.7","IBCLCs Count"
"2018","VA","Virginia","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2017","WY","Wyoming","Fruits and Vegetables","Number of farmers markets per 100,000 residents","8.3","Farmers Market Count"
"2019","KY","Kentucky","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2017","ND","North Dakota","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2016","MT","Montana","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2016","WY","Wyoming","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2018","NH","New Hampshire","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2017","NV","Nevada","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","14.1","Percent of BFHI births"
"2014","NY","New York","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2013","TN","Tennessee","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.6","La Leche Leaders Count"
"2019","SC","South Carolina","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2014","PA","Pennsylvania","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
